名字,姓氏,goat_score_combined,荣誉分,荣誉归一化,数据分,数据归一化
Woody,Sauldsberry,0.08,0.7,0.12,,
Thurl,Bailey,0.06,0.0,0.0,1.8,0.2
Joe,Meriweather,0.06,0.0,0.0,1.8,0.2
Rasheed,Wallace,0.06,0.0,0.0,1.8,0.2
Brook,McGuire,0.03,0.0,0.0,1.75,0.11
Mahmoud,Abdul-Rauf,0.0,0.0,0.0,,
Precious,Achiuwa,0.0,0.0,0.0,,
Courtney,Alexander,0.0,0.0,0.0,,
Álex,Allen,0.0,0.0,0.0,,
Al-Farouq,Aminu,0.0,0.0,0.0,,
Derek,Anderson,0.0,0.0,0.0,,
Greg,Anderson,0.0,0.0,0.0,,
Kyle,Anderson,0.0,0.0,0.0,,
Willie,Anderson,0.0,0.0,0.0,,
Cole,Anthony,0.0,0.0,0.0,,
Rafael,Araujo,0.0,0.0,0.0,,
Chucky,Atkins,0.0,0.0,0.0,,
Chuck,Augmon,0.0,0.0,0.0,,
Stacey,Augmon,0.0,0.0,0.0,,
Isaac,Austin,0.0,0.0,0.0,,
Marvin,Bagley III,0.0,0.0,0.0,,
Mohamed,Bamba,0.0,0.0,0.0,,
Paolo,Banchero,0.0,0.0,0.0,,
Desmond,Bane,0.0,0.0,0.0,,
Michael,Bantom,0.0,0.0,0.0,,
Leandro,Barbosa,0.0,0.0,0.0,,
Harrison,Barnes,0.0,0.0,0.0,,
Scottie,Barnes,0.0,0.0,0.0,,
R.J.,Barrett,0.0,0.0,0.0,,
Dana,Barros,0.0,0.0,0.0,,
Brent,Barry,0.0,0.0,0.0,,
Brandon,Bass,0.0,0.0,0.0,,
Shane,Battier,0.0,0.0,0.0,,
Nicolas,Batum,0.0,0.0,0.0,,
Bradley,Beal,0.0,0.0,0.0,,
Harvey,Beasley,0.0,0.0,0.0,,
Michael,Beasley,0.0,0.0,0.0,,
Ron,Behagen,0.0,0.0,0.0,,
DeJuan,Blair,0.0,0.0,0.0,,
Eric,Bledsoe,0.0,0.0,0.0,,
Kelvin,Boeheim,0.0,0.0,0.0,,
Devin,Booker,0.0,0.0,0.0,,
Darren,Bowman,0.0,0.0,0.0,,
Fred,Boyd,0.0,0.0,0.0,,
Malaki,Branham,0.0,0.0,0.0,,
Jaylen,Brown,0.0,0.0,0.0,,
John,Brown,0.0,0.0,0.0,,
Leon,Brown,0.0,0.0,0.0,,
Alec,Burks,0.0,0.0,0.0,,
Willie,Burton,0.0,0.0,0.0,,
Austin,Carr,0.0,0.0,0.0,,
Justin,Carr,0.0,0.0,0.0,,
Joseph,Carroll,0.0,0.0,0.0,,
Bill,Cartwright,0.0,0.0,0.0,,
Matthew,Cartwright,0.0,0.0,0.0,,
Rex,Chapman,0.0,0.0,0.0,,
Brandon,Clarke,0.0,0.0,0.0,,
John,Collins,0.0,0.0,0.0,,
Tyrone,Cook,0.0,0.0,0.0,,
Ayrton,Covington,0.0,0.0,0.0,,
